card_id,name,sort_name,text,1,2,3,4,5,6,11,12,13,14,15,21,22,23,level,atk,def,attribute,species,frame,icon,scale
1001,洞窟に潜む竜,どうくつにひそむりゅう,洞窟に潜む巨大なドラゴン。普段はおとなしいが、怒ると恐ろしい。財宝を守っていると伝えられている。,,,,,,,,,,,,,,,4,1300,2000,6,1,0,0,0
1002,サファイアドラゴン,さふぁいあどらごん,全身がサファイアに覆われた、非常に美しい姿をしたドラゴン。争いは好まないが、とても高い攻撃力を備えている。,,,,,,,,,,,,,,,4,1900,1600,6,1,0,0,0
1003,アレキサンドライドラゴン,あれきさんどらいどらごん,"アレキサンドライトのウロコを持った、非常に珍しいドラゴン。その美しいウロコは古の王の名を冠し、神秘の象徴とされる。
――それを手にした者は大いなる幸運を既につかんでいる事に気づいていない。",,,,,,,,,,,,,,,4,2000,100,1,1,0,0,0
1004,青眼の白龍,ぶるーあいずほわいとどらごん,高い攻撃力を誇る伝説のドラゴン。どんな相手でも粉砕する、その破壊力は計り知れない。,,,,,,,,,,,,,,,8,3000,2500,1,1,0,0,0
1005,アサルトワイバーン,あさるとわいばーん,①：このカードが戦闘で相手モンスターを破壊した時、このカードをリリースして発動できる。自分の手札・墓地から「アサルトワイバーン」以外のドラゴン族モンスター１体を特殊召喚する。,,,,,,,①：このカードが戦闘で相手モンスターを破壊した時、このカードをリリースして発動できる。自分の手札・墓地から「アサルトワイバーン」以外のドラゴン族モンスター１体を特殊召喚する。,,,,,,,,4,1800,1000,1,1,1,0,0
1006,強欲な壺,ごうよくなつぼ,①：自分は２枚ドローする。,,,,,,,①：自分は２枚ドローする。,,,,,,,,0,0,0,8,0,13,0,0
1007,大嵐,おおあらし,①：フィールドの魔法・罠カードを全て破壊する。,,,,,,,①：フィールドの魔法・罠カードを全て破壊する。,,,,,,,,0,0,0,8,0,13,0,0
1008,ライトニング・ボルテックス,らいとにんぐぼるてっくす,①：手札を１枚捨てて発動できる。相手フィールドの表側表示モンスターを全て破壊する。,,,,,,,①：手札を１枚捨てて発動できる。相手フィールドの表側表示モンスターを全て破壊する。,,,,,,,,0,0,0,8,0,13,0,0
1009,早すぎた埋葬,はやすぎたまいそう,①：８００LPを払い、自分の墓地のモンスター１体を対象としてこのカードを発動できる。そのモンスターを攻撃表示で特殊召喚し、このカードを装備する。このカードが破壊される時にそのモンスターは破壊される。,,,,,,,①：８００ＬＰを払い、自分の墓地のモンスター１体を対象としてこのカードを発動できる。そのモンスターを攻撃表示で特殊召喚し、このカードを装備する。このカードが破壊される時にそのモンスターは破壊される。,,,,,,,,0,0,0,8,0,13,3,0
1010,サイクロン,さいくろん,①：フィールドの魔法・罠カード１枚を対象として発動できる。そのカードを破壊する。,,,,,,,①：フィールドの魔法・罠カード１枚を対象として発動できる。そのカードを破壊する。,,,,,,,,0,0,0,8,0,13,5,0
1011,収縮,しゅうしゅく,①：フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターの元々の攻撃力はターン終了時まで半分になる。,,,,,,,①：フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターの元々の攻撃力はターン終了時まで半分になる。,,,,,,,,0,0,0,8,0,13,5,0
1012,銀龍の轟咆,ぎんりゅうのごうほう,"このカード名のカードは１ターンに１枚しか発動できない。
①：自分の墓地のドラゴン族の通常モンスター１体を対象として発動できる。そのドラゴン族の通常モンスターを特殊召喚する。",,,,,,,①：自分の墓地のドラゴン族の通常モンスター１体を対象として発動できる。そのドラゴン族の通常モンスターを特殊召喚する。,,,,,,,,0,0,0,8,0,13,5,0
1013,聖なるバリア －ミラーフォース－,せいなるばりあみらーふぉーす,①：相手モンスターの攻撃宣言時に発動できる。相手フィールドの攻撃表示モンスターを全て破壊する。,,,,,,,①：相手モンスターの攻撃宣言時に発動できる。相手フィールドの攻撃表示モンスターを全て破壊する。,,,,,,,,0,0,0,9,0,14,0,0
1014,砂塵の大竜巻,さじんのおおたつまき,①：相手フィールドの魔法・罠カード１枚を対象として発動できる。その相手のカードを破壊する。その後、手札から魔法・罠カード１枚をセットできる。,,,,,,,①：相手フィールドの魔法・罠カード１枚を対象として発動できる。その相手のカードを破壊する。その後、手札から魔法・罠カード１枚をセットできる。,,,,,,,,0,0,0,9,0,14,0,0
1015,激流葬,げきりゅうそう,①：モンスターが召喚・反転召喚・特殊召喚された時に発動できる。フィールドのモンスターを全て破壊する。,,,,,,,①：モンスターが召喚・反転召喚・特殊召喚された時に発動できる。フィールドのモンスターを全て破壊する。,,,,,,,,0,0,0,9,0,14,0,0
1016,強化蘇生,きょうかそせい,①：自分の墓地のレベル４以下のモンスター１体を対象としてこのカードを発動できる。そのモンスターを特殊召喚する。このカードが魔法＆罠ゾーンに存在する限り、そのモンスターのレベルは１つ上がり、攻撃力・守備力は１００アップする。そのモンスターが破壊された時にこのカードは破壊される。,,,,,,,①：自分の墓地のレベル４以下のモンスター１体を対象としてこのカードを発動できる。そのモンスターを特殊召喚する。このカードが魔法＆罠ゾーンに存在する限り、そのモンスターのレベルは１つ上がり、攻撃力・守備力は１００アップする。そのモンスターが破壊された時にこのカードは破壊される。,,,,,,,,0,0,0,9,0,14,4,0
1017,仮面竜,ますくどどらごん,①：このカードが戦闘で破壊され墓地へ送られた時に発動できる。デッキから攻撃力１５００以下のドラゴン族モンスター１体を特殊召喚する。,,,,,,,①：このカードが戦闘で破壊され墓地へ送られた時に発動できる。デッキから攻撃力１５００以下のドラゴン族モンスター１体を特殊召喚する。,,,,,,,,3,1400,1100,4,1,1,0,0
1018,ボマー・ドラゴン,ぼまーどらごん,"①：このカードの攻撃で発生するお互いの戦闘ダメージは０になる。
②：このカードが戦闘で破壊され墓地へ送られた場合に発動する。このカードを破壊したモンスターを破壊する。",,,,,,,①：このカードの攻撃で発生するお互いの戦闘ダメージは０になる。,②：このカードが戦闘で破壊され墓地へ送られた場合に発動する。このカードを破壊したモンスターを破壊する。,,,,,,,3,1000,0,5,1,1,0,0
1019,コドモドラゴン,こどもどらごん,"このカード名の効果は１ターンに１度しか使用できず、この効果を発動するターン、自分はドラゴン族モンスターしか特殊召喚できず、バトルフェイズを行えない。
①：このカードが墓地へ送られた場合に発動できる。手札からドラゴン族モンスター１体を特殊召喚する。",,,,,,,①：このカードが墓地へ送られた場合に発動できる。手札からドラゴン族モンスター１体を特殊召喚する。,,,,,,,,3,100,200,5,1,1,0,0
1020,センジュ・ゴッド,せんじゅごっど,①：このカードが召喚・反転召喚した時に発動できる。デッキから儀式モンスター１体を手札に加える。,,,,,,,①：このカードが召喚・反転召喚した時に発動できる。デッキから儀式モンスター１体を手札に加える。,,,,,,,,4,1400,1000,1,17,1,0,0
1021,ソニックバード,そにっくばーど,①：このカードが召喚・反転召喚した時に発動できる。デッキから儀式魔法カード１枚を手札に加える。,,,,,,,①：このカードが召喚・反転召喚した時に発動できる。デッキから儀式魔法カード１枚を手札に加える。,,,,,,,,4,1400,1000,6,16,1,0,0
1022,マンジュ・ゴッド,まんじゅごっど,①：このカードが召喚・反転召喚した時に発動できる。デッキから儀式モンスター１体か儀式魔法カード１枚を手札に加える。,,,,,,,①：このカードが召喚・反転召喚した時に発動できる。デッキから儀式モンスター１体か儀式魔法カード１枚を手札に加える。,,,,,,,,4,1400,1000,1,17,1,0,0
1023,創世の竜騎士,そうせいのりゅうきし,"このカード名の③の効果は１ターンに１度しか使用できない。
①：このカードがモンスターゾーンに存在する限り、このカードのレベルは相手ターンの間４つ上がる。
②：このカードが戦闘で相手モンスターを破壊し墓地へ送った時に発動できる。デッキからレベル７・８のドラゴン族モンスター１体を墓地へ送る。
③：手札を１枚墓地へ送り、自分の墓地のレベル７・８のドラゴン族モンスター１体を対象として発動できる。このカードを墓地へ送り、対象のモンスターを特殊召喚する。",,,,,,,①：このカードがモンスターゾーンに存在する限り、このカードのレベルは相手ターンの間４つ上がる。,②：このカードが戦闘で相手モンスターを破壊し墓地へ送った時に発動できる。デッキからレベル７・８のドラゴン族モンスター１体を墓地へ送る。,③：手札を１枚墓地へ送り、自分の墓地のレベル７・８のドラゴン族モンスター１体を対象として発動できる。このカードを墓地へ送り、対象のモンスターを特殊召喚する。,,,,,,4,1800,600,1,1,1,0,0
1024,白竜の聖騎士,ないとおぶほわいとどらごん,"「白竜降臨」により降臨
①：このカードが裏側守備表示モンスターに攻撃するダメージステップ開始時に発動する。その裏側守備表示モンスターを破壊する。
②：このカードをリリースして発動できる。手札・デッキから「青眼の白龍」１体を特殊召喚する。このターン、自分の「青眼の白龍」は攻撃できない。",,,,,,,①：このカードが裏側守備表示モンスターに攻撃するダメージステップ開始時に発動する。その裏側守備表示モンスターを破壊する。,②：このカードをリリースして発動できる。手札・デッキから「青眼の白龍」１体を特殊召喚する。このターン、自分の「青眼の白龍」は攻撃できない。,,,,,,,4,1900,1200,1,1,5,0,0
1025,死者蘇生,ししゃそせい,①：自分か相手の墓地のモンスター１体を対象として発動できる。そのモンスターを自分フィールドに特殊召喚する。,,,,,,,①：自分か相手の墓地のモンスター１体を対象として発動できる。そのモンスターを自分フィールドに特殊召喚する。,,,,,,,,0,0,0,8,0,13,0,0
1026,白竜降臨,はくりゅうこうりん,①：レベルの合計が４以上になるように、自分の手札・フィールドのモンスターをリリースし、手札から「白竜の聖騎士」を儀式召喚する。,,,,,,,①：レベルの合計が４以上になるように、自分の手札・フィールドのモンスターをリリースし、手札から「白竜の聖騎士」を儀式召喚する。,,,,,,,,0,0,0,8,0,13,6,0
1027,高等儀式術,こうとうぎしきじゅつ,①：レベルの合計が儀式召喚するモンスターと同じになるように、デッキから通常モンスターを墓地へ送り、手札から儀式モンスター１体を儀式召喚する。,,,,,,,①：レベルの合計が儀式召喚するモンスターと同じになるように、デッキから通常モンスターを墓地へ送り、手札から儀式モンスター１体を儀式召喚する。,,,,,,,,0,0,0,8,0,13,6,0
1028,月の書,つきのしょ,①：フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターを裏側守備表示にする。,,,,,,,①：フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターを裏側守備表示にする。,,,,,,,,0,0,0,8,0,13,5,0
1029,禁じられた聖槍,きんじられたせいそう,①：フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターはターン終了時まで、攻撃力が８００ダウンし、他の魔法・罠カードの効果を受けない。,,,,,,,①：フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターはターン終了時まで、攻撃力が８００ダウンし、他の魔法・罠カードの効果を受けない。,,,,,,,,0,0,0,8,0,13,5,0
1030,戦線復帰,せんせんふっき,①：自分の墓地のモンスター１体を対象として発動できる。そのモンスターを守備表示で特殊召喚する。,,,,,,,①：自分の墓地のモンスター１体を対象として発動できる。そのモンスターを守備表示で特殊召喚する。,,,,,,,,0,0,0,9,0,14,0,0
1031,リビングデッドの呼び声,りびんぐでっどのよびごえ,①：自分の墓地のモンスター１体を対象としてこのカードを発動できる。そのモンスターを攻撃表示で特殊召喚する。このカードがフィールドから離れる時にそのモンスターは破壊される。そのモンスターが破壊される時にこのカードは破壊される。,,,,,,,①：自分の墓地のモンスター１体を対象としてこのカードを発動できる。そのモンスターを攻撃表示で特殊召喚する。このカードがフィールドから離れる時にそのモンスターは破壊される。そのモンスターが破壊される時にこのカードは破壊される。,,,,,,,,0,0,0,9,0,14,4,0
