2025-12-14 04:31:01,885 INFO    MainThread:33428 [wandb_init.py:setup_run_log_directory():714] Logging user logs to C:\Users\yukis\Documents\penguin-paper\mochi\wandb\run-20251214_043101-yh451sie\logs\debug.log
2025-12-14 04:31:01,886 INFO    MainThread:33428 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to C:\Users\yukis\Documents\penguin-paper\mochi\wandb\run-20251214_043101-yh451sie\logs\debug-internal.log
2025-12-14 04:31:01,886 INFO    MainThread:33428 [wandb_init.py:init():841] calling init triggers
2025-12-14 04:31:01,886 INFO    MainThread:33428 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'simulation_num': 25, 'set_index': 69, 'interviewer_model_type': 'api', 'interviewer_model_name': 'gpt-4o-mini', 'applicant_model_name': 'gpt-4o-mini', 'max_rounds': 8, 'api_provider': None, 'experiment_id': 'random_api_gpt_4o_mini_r11_4590aaa0', '_wandb': {}}
2025-12-14 04:31:01,886 INFO    MainThread:33428 [wandb_init.py:init():889] starting backend
2025-12-14 04:31:01,886 INFO    MainThread:33428 [wandb_init.py:init():892] sending inform_init request
2025-12-14 04:31:01,888 INFO    MainThread:33428 [wandb_init.py:init():900] backend started and connected
2025-12-14 04:31:01,888 INFO    MainThread:33428 [wandb_init.py:init():970] updated telemetry
2025-12-14 04:31:01,917 INFO    MainThread:33428 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2025-12-14 04:31:02,388 INFO    MainThread:33428 [wandb_init.py:init():1041] starting run threads in backend
2025-12-14 04:31:02,580 INFO    MainThread:33428 [wandb_run.py:_console_start():2521] atexit reg
2025-12-14 04:31:02,580 INFO    MainThread:33428 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2025-12-14 04:31:02,580 INFO    MainThread:33428 [wandb_run.py:_redirect():2438] Wrapping output streams.
2025-12-14 04:31:02,580 INFO    MainThread:33428 [wandb_run.py:_redirect():2461] Redirects installed.
2025-12-14 04:31:02,581 INFO    MainThread:33428 [wandb_init.py:init():1081] run started, returning control to user process
2025-12-14 04:33:20,482 INFO    MainThread:33428 [wandb_run.py:_finish():2287] finishing run yukis-34-student/mochi-interview/yh451sie
2025-12-14 04:33:20,483 INFO    MainThread:33428 [wandb_run.py:_atexit_cleanup():2486] got exitcode: 0
2025-12-14 04:33:20,483 INFO    MainThread:33428 [wandb_run.py:_restore():2468] restore
2025-12-14 04:33:20,483 INFO    MainThread:33428 [wandb_run.py:_restore():2474] restore done
2025-12-14 04:33:21,467 INFO    MainThread:33428 [wandb_run.py:_footer_sync_info():3862] logging synced files
